バス停名,緯度,経度,バス停ID
雷山入口,33.510439,130.22281,雷山入口
高野公民館,33.513778,130.222859,高野公民館
三坂,33.520068,130.223046,三坂
三坂入口,33.523563,130.221622,三坂入口
夏目,33.526781,130.221523,夏目
香力台団地,33.529108,130.220877,香力台団地
香力,33.534371,130.21983,香力
雷山小学校前,33.538118,130.220141,雷山小学校前
糸島市運動公園西口,33.540225,130.220009,糸島市運動公園西口
有田中央,33.547752,130.212618,有田中央
前原中学校前,33.552006,130.20748,前原中学校前
雷山観音前,33.495521,130.230382,雷山観音前
迎野,33.502672,130.228089,迎野
藤坂橋,33.505019,130.225411,藤坂橋
香力台団地,33.529347,130.220941,香力台団地
東佐賀(2),33.253737,130.313599,東佐賀(2)
東佐賀(1),33.25345,130.313428,東佐賀(1)
七ツ川内,33.101735,130.023492,七ツ川内
下吉田,33.101879,130.019209,下吉田
下永尾,33.105829,130.017292,下永尾
広瀬橋,33.109331,130.015585,広瀬橋
飯盛,33.110994,130.010748,飯盛
下野,33.109592,130.009122,下野
下野公民館前(3),33.106339,130.005556,下野公民館前(3)
羽白越,33.105034,130.003942,羽白越
井手川内(2),33.101679,129.998675,井手川内(2)
築城(3),33.103823,129.993868,築城(3)
温泉四区(2),33.102166,129.99218,温泉四区(2)
昭和通り,33.100807,129.989842,昭和通り
嬉野市役所前(2),33.09988,129.987788,嬉野市役所前(2)
ユースポ入口(2),33.09883,129.985393,ユースポ入口(2)
嬉野温泉バスセンター,33.096185,129.98176,嬉野温泉バスセンター
湯の田,33.095585,129.97879,湯の田
嬉野小学校前(2),33.10261,129.98605,嬉野小学校前(2)
嬉野中学校前,33.108633,129.98664,嬉野中学校前
嬉野小学校前(1),33.102745,129.986109,嬉野小学校前(1)
徳万(5),33.250302,130.235244,徳万(5)
久保田宿(2),33.249171,130.228323,久保田宿(2)
せとぐち内科前,33.248699,130.225456,せとぐち内科前
十丁畷手(2),33.247256,130.216766,十丁畷手(2)
芦刈町分(2),33.247135,130.211909,芦刈町分(2)
牛津本町(2),33.248131,130.208196,牛津本町(2)
牛津駅前(2),33.249258,130.200509,牛津駅前(2)
牛津新町,33.24768,130.195366,牛津新町
砥川町(2),33.24524,130.189472,砥川町(2)
砥川新宿(2),33.24093,130.184864,砥川新宿(2)
砥川小学校前(2),33.232547,130.181204,砥川小学校前(2)
蒲原(2),33.226627,130.179181,蒲原(2)
佐留志(2),33.221387,130.170831,佐留志(2)
江北駅前(2),33.219636,130.160775,江北駅前(2)
江北学校入口(2),33.214375,130.154735,江北学校入口(2)
千反松(2),33.206678,130.150201,千反松(2)
八丁(2),33.200663,130.146245,八丁(2)
下小田(2),33.197721,130.142883,下小田(2)
六角橋(2),33.19427,130.140915,六角橋(2)
白石(2),33.187163,130.141143,白石(2)
白石中町(2),33.183035,130.14035,白石中町(2)
廿治町(2),33.179196,130.139408,廿治町(2)
白石中学校前(2),33.174013,130.137602,白石中学校前(2)
干拓道(2),33.169765,130.135755,干拓道(2)
大井(2),33.166993,130.134564,大井(2)
柳橋(2),33.161559,130.131643,柳橋(2)
廻里津(2),33.154629,130.125453,廻里津(2)
廻里江橋(2),33.151063,130.12381,廻里江橋(2)
竜王駅前(2),33.146768,130.122166,竜王駅前(2)
竜王崎(2),33.136408,130.123234,竜王崎(2)
深浦(2),33.133609,130.112265,深浦(2)
百貫(2),33.133031,130.109867,百貫(2)
井手(2),33.126147,130.102717,井手(2)
新篭入口(2),33.124268,130.101232,新篭入口(2)
乙丸東(2),33.119602,130.098528,乙丸東(2)
鹿島本町東(2),33.116705,130.097427,鹿島本町東(2)
肥前鹿島駅前,33.11399,130.09685,肥前鹿島駅前
中牟田(2),33.110897,130.097319,中牟田(2)
中川(2),33.107768,130.097862,中川(2)
小舟津(2),33.104409,130.102037,小舟津(2)
鹿島農協入口(2),33.102596,130.105833,鹿島農協入口(2)
しめご橋(2),33.10085,130.107965,しめご橋(2)
石木津(2),33.098251,130.10861,石木津(2)
浜三ツ角西(2),33.095761,130.111718,浜三ツ角西(2)
浜三ツ角(2),33.094983,130.112454,浜三ツ角(2)
工場団地入口(2),33.093506,130.111313,工場団地入口(2)
大村方(2),33.090459,130.110252,大村方(2)
古枝小学校前(2),33.082519,130.108851,古枝小学校前(2)
祐徳神社前,33.078148,130.109037,祐徳神社前
古枝小学校前(1),33.082388,130.108727,古枝小学校前(1)
大村方(1),33.090203,130.110063,大村方(1)
工場団地入口(1),33.093133,130.111031,工場団地入口(1)
浜三ツ角(1),33.095204,130.112525,浜三ツ角(1)
浜三ツ角西(1),33.095645,130.111764,浜三ツ角西(1)
石木津(1),33.097351,130.108669,石木津(1)
しめご橋(1),33.100016,130.108196,しめご橋(1)
鹿島農協入口(1),33.102496,130.10584,鹿島農協入口(1)
小舟津(1),33.104321,130.101957,小舟津(1)
中川(1),33.107333,130.097772,中川(1)
中牟田(1),33.110243,130.097309,中牟田(1)
肥前鹿島駅前,33.11397,130.09692,肥前鹿島駅前
鹿島本町東(1),33.116663,130.097264,鹿島本町東(1)
乙丸東(1),33.119714,130.098429,乙丸東(1)
新篭入口(1),33.12414,130.100936,新篭入口(1)
井手(1),33.126453,130.102852,井手(1)
百貫(1),33.132994,130.109192,百貫(1)
深浦(1),33.1338,130.11322,深浦(1)
竜王崎(1),33.137173,130.122818,竜王崎(1)
竜王駅前(1),33.147088,130.122163,竜王駅前(1)
廻里江橋(1),33.150895,130.123634,廻里江橋(1)
廻里津(1),33.154692,130.125278,廻里津(1)
柳橋(1),33.162294,130.13185,柳橋(1)
大井(1),33.167052,130.134405,大井(1)
干拓道(1),33.169123,130.135351,干拓道(1)
白石中学校前(1),33.174276,130.137614,白石中学校前(1)
廿治町(1),33.179268,130.13926,廿治町(1)
白石中町(1),33.182882,130.14014,白石中町(1)
白石(1),33.187064,130.140983,白石(1)
六角橋(1),33.193353,130.140643,六角橋(1)
下小田(1),33.198887,130.144283,下小田(1)
八丁(1),33.201316,130.146502,八丁(1)
千反松(1),33.207608,130.150663,千反松(1)
江北学校入口(1),33.214619,130.154752,江北学校入口(1)
江北駅前(1),33.219759,130.160687,江北駅前(1)
佐留志(1),33.221233,130.17046,佐留志(1)
蒲原(1),33.226833,130.178981,蒲原(1)
砥川小学校前(1),33.23273,130.180952,砥川小学校前(1)
砥川新宿(1),33.240956,130.184534,砥川新宿(1)
砥川町(1),33.245569,130.189491,砥川町(1)
牛津駅前(1),33.249795,130.201737,牛津駅前(1)
牛津本町(1),33.247808,130.208938,牛津本町(1)
芦刈町分(1),33.247238,130.21139,芦刈町分(1)
十丁畷手(1),33.247382,130.216573,十丁畷手(1)
久保田宿(1),33.249038,130.226952,久保田宿(1)
徳万(6),33.250395,130.235052,徳万(6)
鹿島新町,33.111499,130.095208,鹿島新町
公園入口(3),33.109744,130.094181,公園入口(3)
西牟田(2),33.110049,130.088485,西牟田(2)
鹿島総合庁舎前,33.10998,130.087047,鹿島総合庁舎前
黒川(2),33.105481,130.084257,黒川(2)
伏原入口(2),33.100207,130.080016,伏原入口(2)
浅浦入口(2),33.09766,130.076617,浅浦入口(2)
平山(2),33.099246,130.070165,平山(2)
塩田分岐(2),33.10019,130.064757,塩田分岐(2)
八天社前,33.09959,130.057314,八天社前
北山(2),33.098645,130.052244,北山(2)
鳥越,33.099861,130.043444,鳥越
東吉田下(2),33.092207,130.027625,東吉田下(2)
東吉田,33.089314,130.026054,東吉田
納戸料,33.087106,130.020418,納戸料
羽口坂(2),33.082218,130.01928,羽口坂(2)
上皿屋,33.083039,130.016138,上皿屋
下皿屋,33.084872,130.015828,下皿屋
西吉田入口(2),33.087169,130.01459,西吉田入口(2)
西吉田下山,33.089511,130.009369,西吉田下山
兎鹿野入口,33.095578,130.003126,兎鹿野入口
中山,33.098143,130.001567,中山
嬉野医療センター,33.10546,129.9974,嬉野医療センター
嬉野温泉駅,33.10651,129.99863,嬉野温泉駅
嬉野老人福祉センター前(2),33.098581,129.980261,嬉野老人福祉センター前(2)
嬉野老人福祉センター前(1),33.098004,129.980253,嬉野老人福祉センター前(1)
ユースポ入口(1),33.098554,129.984466,ユースポ入口(1)
嬉野市役所前(1),33.100384,129.988566,嬉野市役所前(1)
温泉四区(1),33.102388,129.992206,温泉四区(1)
築城(2),33.10432,129.994999,築城(2)
井手川内(1),33.101752,129.9987302,井手川内(1)
西吉田入口(1),33.087474,130.014326,西吉田入口(1)
羽口坂(1),33.082008,130.019053,羽口坂(1)
東吉田下(1),33.092273,130.027444,東吉田下(1)
北山(1),33.09872,130.052109,北山(1)
塩田分岐(1),33.100391,130.065224,塩田分岐(1)
平山(1),33.099639,130.069617,平山(1)
浅浦入口(1),33.097783,130.076458,浅浦入口(1)
伏原入口(1),33.100669,130.080362,伏原入口(1)
黒川(1),33.105677,130.084206,黒川(1)
西牟田(1),33.110131,130.088608,西牟田(1)
浅浦(2),33.093193,130.06943,浅浦(2)
浅浦(1),33.093025,130.069412,浅浦(1)
肥前鹿島駅前,33.11404,130.09678,肥前鹿島駅前
公園入口(1),33.109544,130.0955,公園入口(1)
幸通り,33.108855,130.096163,幸通り
道場前,33.107052,130.095486,道場前
鹿島小学校前,33.103838,130.09493,鹿島小学校前
体育館前,33.10184,130.093646,体育館前
西部中学校前(2),33.098523,130.093354,西部中学校前(2)
辻宿,33.094189,130.093062,辻宿
農協前,33.093258,130.091428,農協前
川原入口(2),33.091477,130.088273,川原入口(2)
能古見小学校前(2),33.088656,130.082949,能古見小学校前(2)
大木庭入口,33.086041,130.077976,大木庭入口
大木庭,33.084556,130.074646,大木庭
高仙寺,33.083466,130.071802,高仙寺
三河内(2),33.078038,130.06745,三河内(2)
三獄神社前,33.076861,130.066741,三獄神社前
東木庭,33.074414,130.065626,東木庭
山下入口,33.069714,130.063146,山下入口
山下,33.066078,130.060924,山下
平原,33.061766,130.057833,平原
掛橋入口,33.060956,130.057179,掛橋入口
早の瀬,33.054891,130.051646,早の瀬
大野,33.041737,130.044807,大野
三河内(1),33.078141,130.067243,三河内(1)
能古見小学校前(1),33.088797,130.083155,能古見小学校前(1)
川原入口(1),33.092051,130.088574,川原入口(1)
西部中学校前(1),33.098542,130.093192,西部中学校前(1)
公園入口(2),33.109589,130.094915,公園入口(2)
佐賀駅バスセンター 6番のりば,33.26461,130.29881,佐賀駅バスセンター 6番のりば
金立サービスエリア,33.329569,130.310463,金立サービスエリア
基山パーキングエリア,33.440911,130.53133,基山パーキングエリア
博多バスターミナル,33.59148,130.4198,博多バスターミナル
西鉄天神高速バスターミナル,33.588337,130.400269,西鉄天神高速バスターミナル
WILLERバスターミナル大阪梅田,34.70541,135.4907,WILLERバスターミナル大阪梅田
ユニバーサル・スタジオ・ジャパン,34.669151,135.432748,ユニバーサル・スタジオ・ジャパン
浜駅前(2),33.093947,130.116296,浜駅前(2)
肥前浜宿前(2),33.092294,130.118569,肥前浜宿前(2)
浜崎(2),33.089745,130.121988,浜崎(2)
新方(2),33.088241,130.127907,新方(2)
西葉(2),33.087479,130.133128,西葉(2)
琵琶岬橋(2),33.084205,130.136515,琵琶岬橋(2)
塩屋橋(2),33.079807,130.139856,塩屋橋(2)
宮道(1),33.078456,130.142908,宮道(1)
道の駅鹿島前(2),33.075664,130.145215,道の駅鹿島前(2)
音成(2),33.072122,130.146193,音成(2)
七浦郵便局前(2),33.069261,130.14923,七浦郵便局前(2)
七浦小学校入口(2),33.067049,130.150746,七浦小学校入口(2)
矢の浦(2),33.063612,130.154588,矢の浦(2)
飯田(2),33.055757,130.16037,飯田(2)
江福(2),33.052734,130.165756,江福(2)
道の駅太良前(2),33.046852,130.168641,道の駅太良前(2)
伊福(2),33.043189,130.169883,伊福(2)
江岡(2),33.038418,130.171356,江岡(2)
太良高校正門前,33.034696,130.170138,太良高校正門前
多良栄町・海中鳥居前(2),33.031826,130.175388,多良栄町・海中鳥居前(2)
球場前(2),33.028373,130.17753,球場前(2)
太良病院前(2),33.026013,130.178307,太良病院前(2)
多良駅前(2),33.025444,130.177508,多良駅前(2)
農協集荷所前（2）,33.024609,130.177332,農協集荷所前（2）
油津（2）,33.023136,130.177991,油津（2）
太良役場前(2),33.019345,130.178673,太良役場前(2)
糸岐本町(2),33.015658,130.180775,糸岐本町(2)
陣内,33.01371,130.182151,陣内
亀崎,33.011256,130.185991,亀崎
破瀬の浦,32.999428,130.187235,破瀬の浦
休石(2),32.991445,130.19108,休石(2)
里(2),32.989031,130.193093,里(2)
野上(2),32.989016,130.204313,野上(2)
広江(2),32.981279,130.207416,広江(2)
亀の浦入口(2),32.978899,130.208652,亀の浦入口(2)
大浦駅前(2),32.974988,130.206762,大浦駅前(2)
風配登山口(1),32.972648,130.205172,風配登山口(1)
竹崎入口(1),32.9685289,130.204138,竹崎入口(1)
コロニー入口,32.96602,130.205343,コロニー入口
道越,32.961151,130.216841,道越
道越環境広場,32.963577,130.222779,道越環境広場
観世音横,32.956982,130.221008,観世音横
竹崎港,32.955407,130.220234,竹崎港
風配登山口(2),32.972562,130.204999,風配登山口(2)
大浦駅前(1),32.97558,130.206947,大浦駅前(1)
亀の浦入口(1),32.979001,130.208581,亀の浦入口(1)
広江(1),32.98118,130.207343,広江(1)
野上(1),32.988788,130.204339,野上(1)
里(1),32.988721,130.193617,里(1)
休石(1),32.991007,130.190856,休石(1)
糸岐本町(1),33.015607,130.180677,糸岐本町(1)
太良役場前(1),33.019149,130.17853,太良役場前(1)
油津（1）,33.023047,130.178039,油津（1）
農協集荷所前（1）,33.024469,130.177265,農協集荷所前（1）
多良駅前(1),33.025545,130.177587,多良駅前(1)
太良病院前(1),33.025992,130.178209,太良病院前(1)
球場前(1),33.0284,130.177375,球場前(1)
多良栄町・海中鳥居前(1),33.03182,130.175237,多良栄町・海中鳥居前(1)
江岡(1),33.038425,130.171121,江岡(1)
伊福(1),33.043024,130.169819,伊福(1)
道の駅太良前(1),33.048177,130.168797,道の駅太良前(1)
江福(1),33.05261,130.165704,江福(1)
飯田(1),33.055738,130.160269,飯田(1)
矢の浦(1),33.063474,130.154368,矢の浦(1)
七浦小学校入口(1),33.067253,130.14981,七浦小学校入口(1)
七浦郵便局前(1),33.069785,130.148849,七浦郵便局前(1)
音成(1),33.07202,130.14598,音成(1)
道の駅鹿島前(1),33.076107,130.144922,道の駅鹿島前(1)
宮道(2),33.078426,130.142814,宮道(2)
塩屋橋(1),33.08056,130.138504,塩屋橋(1)
琵琶岬橋(1),33.084482,130.135717,琵琶岬橋(1)
西葉(1),33.087461,130.132781,西葉(1)
新方(1),33.08798,130.128322,新方(1)
浜崎(1),33.089763,130.121493,浜崎(1)
肥前浜宿前(1),33.0919,130.118603,肥前浜宿前(1)
浜駅前(1),33.094381,130.11502,浜駅前(1)
鹿島市役所・エイブル前(2),33.104173,130.099261,鹿島市役所・エイブル前(2)
末光(2),33.098649,130.101077,末光(2)
ララベル前(1),33.098298,130.101617,ララベル前(1)
ドラモリ・コメリ前(2),33.099229,130.105966,ドラモリ・コメリ前(2)
ドラモリ・コメリ前(1),33.099,130.105382,ドラモリ・コメリ前(1)
ララベル前(2),33.098221,130.101886,ララベル前(2)
末光(1),33.099004,130.100879,末光(1)
鹿島市役所・エイブル前(1),33.104584,130.098946,鹿島市役所・エイブル前(1)
東山公園入口,33.074433,130.10938,東山公園入口
鮒越入口,33.072628,130.109077,鮒越入口
公民分館前,33.068802,130.108959,公民分館前
上古枝,33.064977,130.108088,上古枝
中尾,33.05728,130.108483,中尾
永田,33.054215,130.109569,永田
上中尾,33.050154,130.110928,上中尾
藤の瀬,33.040158,130.112786,藤の瀬
日当山,33.0361,130.110007,日当山
小畑,33.033602,130.108907,小畑
赤岩,33.029669,130.104349,赤岩
奥山,33.024555,130.098663,奥山
久保山(2),33.088617,130.105454,久保山(2)
誕生院前(2),33.096618,130.10281,誕生院前(2)
執行分(2),33.10152,130.101972,執行分(2)
泉通り(2),33.104353,130.100946,泉通り(2)
築城(1),33.1050619,129.994935,築城(1)
嬉野高校前(1),33.107633,129.9976,嬉野高校前(1)
今寺(1),33.109714,129.999807,今寺(1)
一位原(1),33.117879,130.001397,一位原(1)
三坂(1),33.12196,129.999139,三坂(1)
長谷(1),33.128589,129.994105,長谷(1)
小田志口(1),33.129785,129.992273,小田志口(1)
日出城(1),33.135613,129.987743,日出城(1)
弓野(1),33.137399,129.981632,弓野(1)
弓野橋(2),33.138742,129.978862,弓野橋(2)
宮の前,33.147246,129.975869,宮の前
上高瀬,33.151638,129.973977,上高瀬
犬走峠(1),33.164821,129.967749,犬走峠(1)
犬走公民館前,33.171086,129.969297,犬走公民館前
中郷(1),33.174071,129.969969,中郷(1)
寺の前,33.17744,129.97156,寺の前
踊瀬入口,33.180287,129.973775,踊瀬入口
山内東小学校前(1),33.193411,129.963596,山内東小学校前(1)
岩井手(3),33.196138,129.962151,岩井手(3)
茅場(1),33.195953,129.960444,茅場(1)
草場前,33.195304,129.954615,草場前
三間坂,33.194918,129.951232,三間坂
三間坂駅前,33.194944,129.948124,三間坂駅前
茅場(2),33.196043,129.960659,茅場(2)
岩井手(2),33.195849,129.962862,岩井手(2)
山内東小学校前(2),33.19285,129.964491,山内東小学校前(2)
中郷(2),33.174675,129.970345,中郷(2)
犬走峠(2),33.164939,129.967994,犬走峠(2)
弓野(2),33.137219,129.982436,弓野(2)
日出城西,33.136877,129.987112,日出城西
日出城(2),33.136112,129.988131,日出城(2)
小田志口(2),33.129952,129.992275,小田志口(2)
長谷(2),33.127991,129.995214,長谷(2)
三坂(2),33.122929,129.998278,三坂(2)
一位原(2),33.117893,130.001551,一位原(2)
今寺(2),33.109554,129.99978,今寺(2)
嬉野高校前(2),33.10715,129.99725,嬉野高校前(2)
弓野橋(1),33.137968,129.978485,弓野橋(1)
西川登小学校前,33.138078,129.971937,西川登小学校前
庭木,33.137951,129.966929,庭木
神六,33.14155,129.958311,神六
上神六(1),33.141648,129.954463,上神六(1)
矢筈入口,33.141351,129.948997,矢筈入口
矢筈,33.154726,129.944592,矢筈
上神六(2),33.142123,129.954061,上神六(2)
鹿島本町西(1),33.116425,130.095177,鹿島本町西(1)
乙丸西(2),33.119914,130.096891,乙丸西(2)
貝の橋(2),33.122362,130.091544,貝の橋(2)
五の宮(2),33.122049,130.085579,五の宮(2)
大牟田(2),33.123342,130.079228,大牟田(2)
真崎(2),33.124358,130.071949,真崎(2)
五町田(2),33.125609,130.062831,五町田(2)
嬉野市役所塩田庁舎前(3),33.127786,130.05867,嬉野市役所塩田庁舎前(3)
下野辺田(2),33.12808,130.051006,下野辺田(2)
塩田小学校前(2),33.126329,130.043501,塩田小学校前(2)
宮の元(2),33.126853,130.039614,宮の元(2)
美野入口(2),33.130219,130.032539,美野入口(2)
塩吹(2),33.132877,130.030439,塩吹(2)
橋山入口(2),33.136374,130.02454,橋山入口(2)
万才(2),33.135579,130.015931,万才(2)
蛍橋(2),33.12979,130.00683,蛍橋(2)
五代(2),33.128058,130.004592,五代(2)
式浪入口(2),33.124634,130.002945,式浪入口(2)
式浪入口(1),33.124773,130.002889,式浪入口(1)
五代(1),33.128248,130.00481,五代(1)
蛍橋(1),33.130044,130.006846,蛍橋(1)
万才(1),33.135206,130.014994,万才(1)
橋山入口(1),33.136543,130.024722,橋山入口(1)
塩吹(1),33.13221,130.03079,塩吹(1)
美野入口(1),33.130356,130.032602,美野入口(1)
宮の元(1),33.126944,130.040154,宮の元(1)
塩田小学校前(1),33.126463,130.043627,塩田小学校前(1)
下野辺田(1),33.12825,130.050937,下野辺田(1)
嬉野市役所塩田庁舎前(2),33.126897,130.059729,嬉野市役所塩田庁舎前(2)
五町田(1),33.12575,130.062744,五町田(1)
真崎(1),33.124428,130.072307,真崎(1)
大牟田(1),33.123441,130.079268,大牟田(1)
五の宮(1),33.122152,130.08543,五の宮(1)
貝の橋(1),33.12246,130.091606,貝の橋(1)
乙丸西(1),33.11935,130.096731,乙丸西(1)
鹿島本町西(2),33.116397,130.095293,鹿島本町西(2)
泉通り(1),33.104504,130.101007,泉通り(1)
執行分(1),33.101666,130.102059,執行分(1)
誕生院前(1),33.0961,130.103015,誕生院前(1)
久保山(1),33.088588,130.105614,久保山(1)
小倉駅新幹線口,33.888101,130.884225,小倉駅新幹線口
バスステーション広島駅北口,34.400833,132.475203,バスステーション広島駅北口
踊瀬ダム前,33.185802,129.988034,踊瀬ダム前
下山入口(1),33.184065,129.99432,下山入口(1)
谷口眼科前,33.185401,129.997831,谷口眼科前
上西山(1),33.186802,130.001155,上西山(1)
若葉台入口(1),33.188303,130.00464,若葉台入口(1)
武雄警察署前(1),33.18992,130.009566,武雄警察署前(1)
御船ヶ丘小学校前(2),33.187259,130.026853,御船ヶ丘小学校前(2)
武雄警察署前(2),33.189909,130.009982,武雄警察署前(2)
若葉台入口(2),33.188242,130.004863,若葉台入口(2)
上西山(2),33.186657,130.001048,上西山(2)
下山入口(2),33.18408,129.994847,下山入口(2)
踊瀬(2),33.190744,129.983261,踊瀬(2)
永尾駅前(2),33.193703,129.980345,永尾駅前(2)
小六川(2),33.196826,129.9687,小六川(2)
岩井手(1),33.196323,129.963195,岩井手(1)
小六川(1),33.196958,129.969114,小六川(1)
永尾駅前(1),33.193304,129.980912,永尾駅前(1)
踊瀬(1),33.19093,129.983231,踊瀬(1)
武雄温泉入口,33.193476,130.016252,武雄温泉入口
下西山車庫,33.189196,130.01047,下西山車庫
武雄総合庁舎前(2),33.195459,130.028918,武雄総合庁舎前(2)
新武雄病院前,33.197756,130.034369,新武雄病院前
アクロスプラザ,33.198338,130.033252,アクロスプラザ
甘久西(3),33.201707,130.030641,甘久西(3)
武雄中学校裏,33.201833,130.026388,武雄中学校裏
水道公園前,33.20116,130.023856,水道公園前
川良東,33.203644,130.021606,川良東
円応寺馬場(1),33.204812,130.018379,円応寺馬場(1)
赤穂山,33.216092,130.001025,赤穂山
本谷入口,33.215237,129.99454,本谷入口
一軒茶屋,33.214687,129.98318,一軒茶屋
長谷入口,33.215406,129.980131,長谷入口
宇土谷,33.218189,129.977747,宇土谷
上古賀,33.220914,129.976281,上古賀
馬場,33.227013,129.972295,馬場
黒牟田入口,33.231385,129.969819,黒牟田入口
松尾,33.235336,129.968643,松尾
馬渡公民館前,33.241006,129.971414,馬渡公民館前
武雄北中学校前,33.242013,129.975587,武雄北中学校前
山中公民館前,33.244514,129.978652,山中公民館前
若木公民館前(2),33.254302,129.991168,若木公民館前(2)
柿田代公民館前,33.2409,129.967549,柿田代公民館前
多々良入口,33.236815,129.966957,多々良入口
亀の甲,33.232016,129.966467,亀の甲
病院前,33.229891,129.964346,病院前
梅の原,33.226338,129.963966,梅の原
海正原,33.217672,129.962867,海正原
鯰渕,33.212922,129.964934,鯰渕
森の木公民館前,33.212187,129.973005,森の木公民館前
武雄総合庁舎前(1),33.195477,130.028657,武雄総合庁舎前(1)
小楠,33.199187,130.025266,小楠
水道公園前,33.201019,130.023799,水道公園前
江北役場前(2),33.220019,130.157012,江北役場前(2)
経済連センター前(2),33.219799,130.146043,経済連センター前(2)
白石高校商業科キャンパス前(3),33.217166,130.136928,白石高校商業科キャンパス前(3)
ＪＡさが地区中央支所前(2),33.214181,130.126624,ＪＡさが地区中央支所前(2)
大町ひじり学園前(2),33.212634,130.119935,大町ひじり学園前(2)
大町役場前(2),33.212665,130.116278,大町役場前(2)
大町病院前(2),33.212695,130.112848,大町病院前(2)
土場口(2),33.21273,130.110898,土場口(2)
大町駅前(2),33.212741,130.106426,大町駅前(2)
大町幹部派出所前(2),33.213668,130.099106,大町幹部派出所前(2)
赤坂(2),33.215123,130.092313,赤坂(2)
焼米橋(2),33.216015,130.086778,焼米橋(2)
北方駅前(2),33.216772,130.082914,北方駅前(2)
リムス前(2),33.217158,130.078502,リムス前(2)
北方ゴルフ場前(2),33.219919,130.074174,北方ゴルフ場前(2)
高野寺入口(2),33.220269,130.067617,高野寺入口(2)
ホームセンターユートク(2),33.220051,130.062469,ホームセンターユートク(2)
下西山(2),33.190347,130.012498,下西山(2)
下西山(1),33.190118,130.012261,下西山(1)
ホームセンターユートク(1),33.220203,130.062231,ホームセンターユートク(1)
高野寺入口(1),33.220445,130.068656,高野寺入口(1)
北方ゴルフ場前(1),33.22054,130.072596,北方ゴルフ場前(1)
リムス前(1),33.217513,130.078022,リムス前(1)
北方駅前(1),33.216892,130.083012,北方駅前(1)
焼米橋(1),33.216128,130.086997,焼米橋(1)
赤坂(1),33.215217,130.092364,赤坂(1)
大町幹部派出所前(1),33.21368,130.09947,大町幹部派出所前(1)
大町駅前(1),33.212879,130.106046,大町駅前(1)
土場口(1),33.212837,130.109388,土場口(1)
大町病院前(1),33.212809,130.113131,大町病院前(1)
大町役場前(1),33.212766,130.116559,大町役場前(1)
大町ひじり学園前(1),33.212731,130.119829,大町ひじり学園前(1)
ＪＡさが地区中央支所前(1),33.214268,130.126557,ＪＡさが地区中央支所前(1)
白石高校商業科キャンパス前(2),33.217969,130.139126,白石高校商業科キャンパス前(2)
経済連センター前(1),33.219939,130.145858,経済連センター前(1)
江北役場前(1),33.220113,130.157237,江北役場前(1)
温泉楼門,33.196553,130.014858,温泉楼門
黒髪神社,33.209702,129.927343,黒髪神社
黒髪陶芸村,33.21823,129.91301,黒髪陶芸村
道の駅黒髪の里,33.19185,129.95589,道の駅黒髪の里
飛龍窯,33.232773,129.981362,飛龍窯
川古の大楠公園,33.252041,129.994711,川古の大楠公園
武雄温泉物産館,33.196648,130.032219,武雄温泉物産館
朝鍋宿,33.221081,130.152528,朝鍋宿
土元,33.226396,130.154426,土元
門前,33.232892,130.150677,門前
花祭,33.243972,130.152248,花祭
白木パノラマ孔園前,33.2411,130.135468,白木パノラマ孔園前
平山,33.236984,130.135435,平山
岳,33.232668,130.136133,岳
仲町,33.231629,130.139148,仲町
上小田集会所前,33.229676,130.141436,上小田集会所前
上小田浄水場,33.230222,130.143797,上小田浄水場
永林寺保育園前,33.228649,130.144219,永林寺保育園前
小田商店街入口,33.226837,130.142734,小田商店街入口
古賀小児科前,33.225606,130.14489,古賀小児科前
江北小学校前,33.214367,130.158569,江北小学校前
幼児教育センター(1),33.216361,130.16033,幼児教育センター(1)
江北駅（南口),33.218605,130.160693,江北駅（南口)
白石高校商業科キャンパス前(1),33.21778,130.137339,白石高校商業科キャンパス前(1)
観音下,33.218782,130.136487,観音下
天子社,33.223467,130.135346,天子社
上区,33.226365,130.136076,上区
岩屋団地,33.230487,130.137805,岩屋団地
ＳＵＭＣＯ前,33.232028,130.140977,ＳＵＭＣＯ前
日の出町,33.231216,130.144382,日の出町
幼児教育センター(2),33.216289,130.16081,幼児教育センター(2)
イオン江北店,33.216854,130.162279,イオン江北店
嬉野市役所塩田庁舎前(1),33.128543,130.059205,嬉野市役所塩田庁舎前(1)
塩田下町(2),33.131895,130.061274,塩田下町(2)
牛間田新道(2),33.137248,130.063578,牛間田新道(2)
下久間(2),33.140472,130.063598,下久間(2)
志田原(2),33.147408,130.062949,志田原(2)
冬野入口(2),33.150796,130.064205,冬野入口(2)
西山(2),33.157088,130.062881,西山(2)
北志田(2),33.162011,130.060988,北志田(2)
楢崎(2),33.166209,130.057675,楢崎(2)
上野(1),33.168775,130.050783,上野(1)
郷の木(2),33.174306,130.048277,郷の木(2)
潮見(2),33.177713,130.045863,潮見(2)
大谷(2),33.181647,130.042199,大谷(2)
永島(2),33.184892,130.038203,永島(2)
和田団地(2),33.189039,130.036198,和田団地(2)
花島(2),33.190939,130.035078,花島(2)
青陵中学校前(2),33.192932,130.031039,青陵中学校前(2)
青陵中学校前(1),33.19259,130.031513,青陵中学校前(1)
花島(1),33.19063,130.0355,花島(1)
和田団地(1),33.18884,130.03636,和田団地(1)
永島(1),33.184815,130.038575,永島(1)
大谷(1),33.181833,130.042147,大谷(1)
